NUM,CHROM,BIN_START,N_SNPS,TajimaD
1,TRINITY_DN11428_c0_g1_i1,0,1,-1.15524
2,TRINITY_DN12863_c0_g1_i1,0,1,-0.341438
3,TRINITY_DN1307_c0_g1_i1,0,1,0.842275
4,TRINITY_DN13619_c0_g1_i1,0,1,0.3244
5,TRINITY_DN14997_c0_g1_i1,0,1,-1.15524
6,TRINITY_DN16806_c0_g1_i1,0,1,-1.15524
7,TRINITY_DN16999_c0_g1_i1,0,2,-1.48074
8,TRINITY_DN17505_c0_g1_i1,0,1,1.43413
9,TRINITY_DN17975_c1_g1_i1,0,2,0.226149
10,TRINITY_DN19476_c0_g1_i1,0,1,-1.15524
11,TRINITY_DN19557_c0_g1_i1,0,1,-1.15524
12,TRINITY_DN20033_c0_g1_i1,0,2,-0.53247
13,TRINITY_DN20359_c0_g1_i1,0,1,-0.341438
14,TRINITY_DN20397_c0_g1_i1,0,1,-1.15524
15,TRINITY_DN20453_c0_g1_i1,0,1,-1.15524
16,TRINITY_DN20502_c0_g1_i1,0,2,-0.959194
17,TRINITY_DN20691_c0_g1_i1,0,3,0.255134
18,TRINITY_DN20701_c0_g1_i1,0,3,-0.315432
19,TRINITY_DN21169_c0_g1_i1,0,2,-1.48074
20,TRINITY_DN21210_c0_g1_i1,0,2,-0.0109193
21,TRINITY_DN21256_c0_g1_i1,0,1,-1.15524
22,TRINITY_DN21269_c0_g1_i1,0,3,-0.422413
23,TRINITY_DN21311_c0_g1_i1,0,1,1.43413
24,TRINITY_DN21452_c0_g1_i1,0,1,1.21219
25,TRINITY_DN21471_c0_g1_i1,0,2,1.50632
26,TRINITY_DN22048_c0_g1_i1,0,1,-1.15524
27,TRINITY_DN22229_c0_g1_i1,0,2,0.320977
28,TRINITY_DN22452_c0_g1_i1,0,1,0.842275
29,TRINITY_DN22567_c0_g1_i1,0,2,-1.48074
30,TRINITY_DN22921_c0_g1_i1,0,1,-1.15524
31,TRINITY_DN24010_c0_g1_i1,0,1,-1.15524
32,TRINITY_DN24303_c0_g1_i1,0,1,1.21219
33,TRINITY_DN24557_c0_g1_i1,0,2,-1.48074
34,TRINITY_DN25290_c0_g1_i1,0,1,-0.341438
35,TRINITY_DN25359_c0_g1_i1,0,2,-1.48074
36,TRINITY_DN25633_c0_g1_i1,0,3,-1.67053
37,TRINITY_DN25829_c0_g1_i1,0,1,-1.15524
38,TRINITY_DN25887_c0_g1_i1,0,1,1.21219
39,TRINITY_DN25892_c0_g2_i1,0,2,-0.0109193
40,TRINITY_DN25983_c0_g1_i1,0,1,-0.341438
41,TRINITY_DN26067_c0_g1_i1,0,1,1.21219
42,TRINITY_DN26097_c0_g1_i1,0,1,0.3244
43,TRINITY_DN26109_c0_g1_i1,0,1,1.43413
44,TRINITY_DN26117_c0_g1_i1,0,4,-1.222
45,TRINITY_DN26156_c0_g2_i1,0,7,0.841757
46,TRINITY_DN26408_c0_g1_i1,0,1,0.3244
47,TRINITY_DN26524_c0_g1_i1,0,1,-0.341438
48,TRINITY_DN26620_c0_g1_i1,0,1,1.50811
49,TRINITY_DN26757_c0_g1_i1,0,1,-1.15524
50,TRINITY_DN26804_c0_g1_i1,0,4,0.447219
51,TRINITY_DN27060_c0_g1_i1,0,3,-0.565055
52,TRINITY_DN27233_c0_g1_i1,0,1,-1.15524
53,TRINITY_DN27311_c0_g1_i1,0,3,-1.27826
54,TRINITY_DN27495_c0_g1_i1,0,1,1.21219
55,TRINITY_DN28217_c1_g1_i1,0,1,1.21219
56,TRINITY_DN28343_c0_g1_i1,0,2,0.226149
57,TRINITY_DN28606_c0_g2_i1,0,1,0.3244
58,TRINITY_DN28750_c0_g1_i1,0,2,-0.437643
59,TRINITY_DN28815_c0_g2_i1,0,1,-1.15524
60,TRINITY_DN29058_c0_g2_i1,0,1,1.50811
61,TRINITY_DN29129_c0_g1_i1,0,1,0.842275
62,TRINITY_DN29349_c0_g3_i1,0,1,-0.341438
63,TRINITY_DN29510_c0_g1_i1,0,1,1.50811
64,TRINITY_DN29610_c0_g2_i1,0,8,1.22026
65,TRINITY_DN29774_c0_g2_i1,0,2,-0.53247
66,TRINITY_DN29804_c0_g1_i1,0,2,-0.200574
67,TRINITY_DN29983_c0_g1_i1,0,1,-0.341438
68,TRINITY_DN30223_c0_g3_i1,0,1,-0.341438
69,TRINITY_DN30257_c0_g1_i1,0,1,0.842275
70,TRINITY_DN30262_c0_g1_i1,0,1,0.842275
71,TRINITY_DN30497_c1_g1_i1,0,8,-1.25061
72,TRINITY_DN30510_c0_g1_i1,0,5,-0.0986275
73,TRINITY_DN30561_c0_g1_i2,0,1,1.50811
74,TRINITY_DN30561_c2_g1_i1,0,2,0.700287
75,TRINITY_DN30692_c0_g2_i1,0,1,-1.15524
76,TRINITY_DN30699_c1_g1_i1,0,17,1.57335
77,TRINITY_DN30838_c0_g1_i1,0,1,1.21219
78,TRINITY_DN30917_c0_g1_i1,0,1,-1.15524
79,TRINITY_DN30960_c0_g1_i1,0,2,0.558046
80,TRINITY_DN31132_c0_g2_i1,0,1,1.50811
81,TRINITY_DN31264_c1_g1_i1,0,2,1.31667
82,TRINITY_DN31271_c0_g1_i1,0,5,-0.461607
83,TRINITY_DN31293_c0_g1_i1,0,1,1.43413
84,TRINITY_DN31459_c0_g1_i1,0,1,0.842275
85,TRINITY_DN31548_c0_g1_i1,0,1,-1.15524
86,TRINITY_DN31613_c0_g1_i1,0,6,-1.72892
87,TRINITY_DN31911_c0_g1_i1,0,2,-1.48074
88,TRINITY_DN31966_c0_g2_i1,0,8,-2.05775
89,TRINITY_DN31968_c0_g1_i1,0,1,0.3244
90,TRINITY_DN31974_c0_g3_i1,0,1,-0.341438
91,TRINITY_DN32048_c0_g1_i1,0,2,0.7477
92,TRINITY_DN32176_c0_g2_i1,0,1,-0.341438
93,TRINITY_DN32329_c0_g2_i1,0,2,-0.53247
94,TRINITY_DN32463_c1_g1_i1,0,14,-0.208372
95,TRINITY_DN32667_c0_g2_i1,0,2,0.320977
96,TRINITY_DN32706_c0_g2_i2,0,6,-1.95891
97,TRINITY_DN32791_c0_g3_i1,0,1,-0.341438
98,TRINITY_DN32882_c0_g1_i1,0,1,-1.15524
99,TRINITY_DN32895_c0_g1_i1,0,1,-1.15524
100,TRINITY_DN32915_c0_g1_i1,0,1,0.3244
101,TRINITY_DN33015_c0_g1_i1,0,2,-0.437643
102,TRINITY_DN33024_c0_g1_i1,0,4,0.447219
103,TRINITY_DN33188_c0_g2_i1,0,2,-0.200574
104,TRINITY_DN33196_c0_g1_i1,0,2,-0.959194
105,TRINITY_DN33389_c1_g1_i1,0,2,-1.48074
106,TRINITY_DN33397_c1_g1_i2,0,5,-0.655197
107,TRINITY_DN33397_c2_g4_i1,0,2,-0.200574
108,TRINITY_DN33675_c0_g1_i1,0,1,-1.15524
109,TRINITY_DN33723_c0_g1_i1,0,1,0.3244
110,TRINITY_DN33742_c1_g2_i1,0,1,1.43413
111,TRINITY_DN33780_c0_g1_i1,0,2,-0.200574
112,TRINITY_DN33893_c0_g1_i1,0,1,-0.341438
113,TRINITY_DN33904_c0_g1_i1,0,4,-0.790307
114,TRINITY_DN33929_c0_g3_i1,0,1,-1.15524
115,TRINITY_DN34156_c0_g1_i1,0,3,1.50325
116,TRINITY_DN34170_c0_g1_i1,0,1,0.3244
117,TRINITY_DN34223_c0_g1_i1,0,3,0.290794
118,TRINITY_DN34250_c0_g1_i1,0,1,0.3244
119,TRINITY_DN34355_c0_g1_i1,0,6,0.550076
120,TRINITY_DN34483_c0_g1_i1,0,1,1.43413
121,TRINITY_DN34530_c0_g1_i1,0,3,0.433436
122,TRINITY_DN34621_c1_g2_i1,0,2,-0.437643
123,TRINITY_DN34621_c2_g2_i1,0,3,2.14513
124,TRINITY_DN34661_c0_g1_i1,0,1,1.50811
125,TRINITY_DN34670_c0_g1_i1,0,2,-0.53247
126,TRINITY_DN34708_c0_g2_i1,0,1,-1.15524
127,TRINITY_DN34722_c0_g2_i1,0,1,0.3244
128,TRINITY_DN34728_c1_g1_i1,0,2,-0.437643
129,TRINITY_DN34875_c0_g1_i1,0,1,0.3244
130,TRINITY_DN34928_c0_g1_i1,0,3,-1.27826
131,TRINITY_DN34931_c0_g1_i1,0,4,1.13793
132,TRINITY_DN34972_c0_g1_i1,0,2,0.415804
133,TRINITY_DN34987_c0_g2_i1,0,3,-1.67053
134,TRINITY_DN35026_c0_g1_i1,0,2,-0.437643
135,TRINITY_DN35027_c1_g1_i1,0,1,-1.15524
136,TRINITY_DN35039_c1_g1_i1,0,1,0.3244
137,TRINITY_DN35067_c1_g1_i1,0,2,-1.48074
138,TRINITY_DN35070_c0_g1_i1,0,2,-1.48074
139,TRINITY_DN35091_c1_g1_i1,0,1,0.3244
140,TRINITY_DN35091_c1_g1_i2,0,2,-0.437643
141,TRINITY_DN35300_c0_g1_i1,0,1,0.842275
142,TRINITY_DN35340_c1_g1_i1,0,1,0.3244
143,TRINITY_DN35340_c1_g1_i2,0,1,-1.15524
144,TRINITY_DN35390_c0_g1_i1,0,1,-0.341438
145,TRINITY_DN35464_c0_g1_i1,0,1,-1.15524
146,TRINITY_DN35509_c0_g2_i1,0,2,-1.48074
147,TRINITY_DN35575_c0_g1_i1,0,1,1.21219
148,TRINITY_DN35709_c0_g2_i1,0,1,-0.341438
149,TRINITY_DN35743_c0_g1_i1,0,1,-0.341438
150,TRINITY_DN35849_c0_g1_i1,0,4,-0.560069
151,TRINITY_DN35906_c1_g1_i1,0,1,0.842275
152,TRINITY_DN35910_c0_g2_i1,0,1,0.3244
153,TRINITY_DN35929_c1_g1_i1,0,4,0.0155239
154,TRINITY_DN35952_c1_g1_i2,0,1,-1.15524
155,TRINITY_DN35986_c0_g1_i2,0,5,1.69207
156,TRINITY_DN36015_c0_g1_i2,0,1,-1.15524
157,TRINITY_DN36025_c0_g1_i1,0,1,-0.341438
158,TRINITY_DN36056_c0_g2_i1,0,1,0.842275
159,TRINITY_DN36098_c0_g1_i1,0,2,-1.48074
160,TRINITY_DN36173_c0_g1_i1,0,1,-1.15524
161,TRINITY_DN36178_c0_g1_i2,0,1,-0.341438
162,TRINITY_DN36186_c0_g1_i1,0,1,0.3244
163,TRINITY_DN36189_c0_g1_i1,0,2,0.226149
164,TRINITY_DN36202_c0_g1_i1,0,1,1.21219
165,TRINITY_DN36341_c0_g9_i1,0,1,0.3244
166,TRINITY_DN36358_c0_g3_i1,0,1,-1.15524
167,TRINITY_DN36392_c0_g2_i1,0,2,0.558046
168,TRINITY_DN36408_c0_g1_i1,0,2,-0.53247
169,TRINITY_DN36418_c0_g1_i1,0,1,0.842275
170,TRINITY_DN36420_c0_g1_i1,0,1,-1.15524
171,TRINITY_DN36462_c0_g1_i1,0,1,-0.341438
172,TRINITY_DN36487_c0_g1_i1,0,4,0.216982
173,TRINITY_DN36490_c1_g2_i1,0,2,1.45891
174,TRINITY_DN36490_c1_g2_i2,0,2,-0.959194
175,TRINITY_DN36493_c0_g1_i1,0,3,-0.493734
176,TRINITY_DN36571_c3_g1_i1,0,1,1.21219
177,TRINITY_DN36579_c0_g1_i1,0,1,-1.15524
178,TRINITY_DN36580_c0_g2_i1,0,2,0.178736
179,TRINITY_DN36584_c0_g1_i1,0,1,-0.341438
180,TRINITY_DN36589_c0_g1_i1,0,1,0.3244
181,TRINITY_DN36589_c0_g3_i1,0,1,1.21219
182,TRINITY_DN36629_c2_g1_i1,0,1,-1.15524
183,TRINITY_DN36732_c0_g1_i1,0,3,-0.885998
184,TRINITY_DN36805_c1_g1_i1,0,3,0.183813
185,TRINITY_DN36862_c0_g1_i1,0,1,-0.341438
186,TRINITY_DN36887_c0_g1_i1,0,2,-0.437643
187,TRINITY_DN36972_c0_g2_i1,0,1,0.3244
188,TRINITY_DN37002_c0_g1_i1,0,1,0.842275
189,TRINITY_DN37107_c0_g1_i3,0,1,-0.341438
190,TRINITY_DN37148_c1_g1_i1,0,1,-0.341438
191,TRINITY_DN37198_c0_g2_i1,0,1,-0.341438
192,TRINITY_DN37204_c0_g1_i1,0,2,1.31667
193,TRINITY_DN37210_c0_g2_i1,0,2,-1.48074
194,TRINITY_DN37233_c0_g1_i1,0,1,-0.341438
195,TRINITY_DN37237_c0_g2_i1,0,1,-1.15524
196,TRINITY_DN37266_c0_g1_i3,0,2,0.226149
197,TRINITY_DN37304_c2_g3_i1,0,8,0.363691
198,TRINITY_DN37330_c0_g1_i1,0,1,0.842275
199,TRINITY_DN37336_c0_g1_i1,0,1,-1.15524
200,TRINITY_DN37353_c1_g1_i1,0,16,-2.23881
201,TRINITY_DN37366_c0_g2_i1,0,6,-1.12258
202,TRINITY_DN37382_c0_g1_i2,0,1,-0.341438
203,TRINITY_DN37384_c2_g1_i2,0,1,-1.15524
204,TRINITY_DN37430_c0_g1_i2,0,2,-1.48074
205,TRINITY_DN37441_c0_g1_i1,0,2,-1.48074
206,TRINITY_DN37452_c0_g3_i1,0,4,-0.444951
207,TRINITY_DN37463_c0_g1_i1,0,1,1.43413
208,TRINITY_DN37469_c0_g1_i1,0,2,-0.0109193
209,TRINITY_DN37469_c0_g3_i1,0,3,0.897021
210,TRINITY_DN37480_c0_g1_i1,0,4,-0.905425
211,TRINITY_DN37648_c0_g2_i2,0,1,-0.341438
212,TRINITY_DN37688_c2_g1_i1,0,7,0.215422
213,TRINITY_DN37699_c0_g1_i1,0,2,0.415804
214,TRINITY_DN37754_c0_g2_i1,0,1,-0.341438
215,TRINITY_DN37771_c0_g2_i2,0,1,-1.15524
216,TRINITY_DN37828_c0_g3_i2,0,1,-1.15524
217,TRINITY_DN37829_c0_g1_i2,0,9,-0.618948
218,TRINITY_DN37831_c0_g4_i1,0,1,0.842275
219,TRINITY_DN37860_c0_g2_i1,0,6,-0.976222
220,TRINITY_DN37870_c0_g1_i1,0,1,0.842275
221,TRINITY_DN37890_c0_g1_i2,0,2,-1.48074
222,TRINITY_DN37892_c0_g1_i1,0,1,-1.15524
223,TRINITY_DN37905_c0_g1_i1,0,1,-1.15524
224,TRINITY_DN37920_c0_g1_i1,0,1,0.3244
225,TRINITY_DN37974_c0_g1_i1,0,1,-1.15524
226,TRINITY_DN38061_c0_g1_i1,0,1,-1.15524
227,TRINITY_DN38064_c0_g3_i1,0,1,1.21219
228,TRINITY_DN38121_c0_g2_i1,0,1,0.842275
229,TRINITY_DN38122_c0_g1_i1,0,5,0.554736
230,TRINITY_DN38129_c0_g1_i1,0,3,1.25362
231,TRINITY_DN38166_c0_g3_i1,0,1,1.21219
232,TRINITY_DN38219_c0_g2_i2,0,2,-0.959194
233,TRINITY_DN38241_c0_g1_i1,0,1,1.21219
234,TRINITY_DN38270_c0_g1_i1,0,1,0.3244
235,TRINITY_DN38325_c0_g1_i1,0,3,-1.27826
236,TRINITY_DN38348_c0_g2_i1,0,1,1.43413
237,TRINITY_DN38384_c0_g1_i2,0,2,-1.48074
238,TRINITY_DN38487_c1_g1_i1,0,3,0.754379
239,TRINITY_DN38508_c1_g1_i1,0,3,1.78853
240,TRINITY_DN38529_c1_g1_i1,0,1,1.43413
241,TRINITY_DN38558_c0_g1_i2,0,1,1.21219
242,TRINITY_DN38564_c0_g1_i1,0,2,-1.48074
243,TRINITY_DN38568_c0_g1_i2,0,2,-0.959194
244,TRINITY_DN38579_c0_g1_i1,0,2,0.0364945
245,TRINITY_DN38633_c0_g2_i2,0,2,1.12701
246,TRINITY_DN38693_c0_g1_i1,0,1,-1.15524
247,TRINITY_DN38718_c1_g5_i1,0,1,-1.15524
248,TRINITY_DN38730_c1_g1_i1,0,1,-1.15524
249,TRINITY_DN38732_c0_g3_i1,0,2,0.7477
250,TRINITY_DN38748_c0_g3_i1,0,1,-1.15524
251,TRINITY_DN38750_c0_g1_i1,0,3,-0.244111
252,TRINITY_DN38806_c0_g1_i1,0,2,0.7477
253,TRINITY_DN38852_c0_g2_i2,0,1,1.21219
254,TRINITY_DN38872_c1_g4_i1,0,1,-0.341438
255,TRINITY_DN38872_c1_g10_i1,0,4,-0.588849
256,TRINITY_DN38922_c2_g1_i1,0,1,-1.15524
257,TRINITY_DN38953_c1_g2_i2,0,3,2.07381
258,TRINITY_DN38988_c0_g2_i1,0,1,-1.15524
259,TRINITY_DN38988_c0_g3_i2,0,1,-0.341438
260,TRINITY_DN39050_c0_g3_i1,0,11,-1.61237
261,TRINITY_DN39058_c1_g1_i3,0,4,-0.53129
262,TRINITY_DN39070_c0_g2_i1,0,2,0.178736
263,TRINITY_DN39078_c0_g3_i1,0,1,-0.341438
264,TRINITY_DN39123_c0_g1_i1,0,1,0.842275
265,TRINITY_DN39125_c0_g2_i1,0,16,0.395691
266,TRINITY_DN39198_c0_g1_i1,0,2,-0.959194
267,TRINITY_DN39212_c0_g1_i1,0,2,0.7477
268,TRINITY_DN39227_c0_g1_i3,0,6,-0.871681
269,TRINITY_DN39256_c0_g1_i1,0,1,-1.15524
