NUM,CHROM,BIN_START,N_SNPS,TajimaD
1,TRINITY_DN12586_c0_g1_i1,0,1,-0.59155
2,TRINITY_DN12863_c0_g1_i1,0,1,-1.16439
3,TRINITY_DN1307_c0_g1_i1,0,1,0.351953
4,TRINITY_DN13619_c0_g1_i1,0,2,-0.768572
5,TRINITY_DN14997_c0_g1_i1,0,3,-1.44071
6,TRINITY_DN16999_c0_g1_i1,0,6,-1.71904
7,TRINITY_DN17505_c0_g1_i1,0,1,1.56503
8,TRINITY_DN17975_c1_g1_i1,0,6,-1.24299
9,TRINITY_DN19476_c0_g1_i1,0,2,-1.1407
10,TRINITY_DN19557_c0_g1_i1,0,1,0.351953
11,TRINITY_DN19999_c0_g1_i1,0,1,-1.16439
12,TRINITY_DN20033_c0_g1_i1,0,1,0.722614
13,TRINITY_DN20359_c0_g1_i1,0,2,-1.51284
14,TRINITY_DN20397_c0_g1_i1,0,2,-0.0899783
15,TRINITY_DN20453_c0_g1_i1,0,2,-0.0899783
16,TRINITY_DN20502_c0_g1_i1,0,2,0.172703
17,TRINITY_DN20691_c0_g1_i1,0,3,-0.626144
18,TRINITY_DN20701_c0_g1_i1,0,2,0.457275
19,TRINITY_DN20973_c1_g1_i1,0,2,-0.44022
20,TRINITY_DN21169_c0_g1_i1,0,2,-1.1407
21,TRINITY_DN21210_c0_g1_i1,0,2,-1.1407
22,TRINITY_DN21269_c0_g1_i1,0,4,-0.340828
23,TRINITY_DN21311_c0_g1_i1,0,1,-0.0861022
24,TRINITY_DN21452_c0_g1_i1,0,1,0.351953
25,TRINITY_DN21471_c0_g1_i1,0,2,1.74879
26,TRINITY_DN22229_c0_g1_i1,0,2,0.172703
27,TRINITY_DN22452_c0_g1_i1,0,1,-0.59155
28,TRINITY_DN22567_c0_g1_i1,0,3,-0.975242
29,TRINITY_DN22921_c0_g1_i1,0,1,-0.59155
30,TRINITY_DN24010_c0_g1_i1,0,1,-0.59155
31,TRINITY_DN24303_c0_g1_i1,0,1,-0.0861022
32,TRINITY_DN24358_c0_g1_i1,0,1,-0.59155
33,TRINITY_DN24557_c0_g1_i1,0,3,-1.1581
34,TRINITY_DN25290_c0_g1_i1,0,2,-0.812352
35,TRINITY_DN25359_c0_g1_i1,0,3,-0.243798
36,TRINITY_DN25525_c0_g1_i1,0,1,-1.16439
37,TRINITY_DN25633_c0_g1_i1,0,6,-0.0429568
38,TRINITY_DN25682_c0_g1_i1,0,2,-1.1407
39,TRINITY_DN25829_c0_g1_i1,0,3,-1.72331
40,TRINITY_DN25887_c0_g1_i1,0,1,0.351953
41,TRINITY_DN25892_c0_g2_i1,0,3,-0.975242
42,TRINITY_DN2692_c0_g2_i1,0,8,-1.10479
43,TRINITY_DN26067_c0_g1_i1,0,1,1.53133
44,TRINITY_DN26097_c0_g1_i1,0,1,0.722614
45,TRINITY_DN26109_c0_g1_i1,0,1,0.351953
46,TRINITY_DN26117_c0_g1_i1,0,3,0.0886763
47,TRINITY_DN26156_c0_g2_i1,0,11,-1.77665
48,TRINITY_DN26408_c0_g1_i1,0,3,-0.908747
49,TRINITY_DN26524_c0_g1_i1,0,1,-0.59155
50,TRINITY_DN26620_c0_g1_i1,0,1,1.26176
51,TRINITY_DN26804_c0_g1_i1,0,4,0.361885
52,TRINITY_DN27060_c0_g1_i1,0,6,-0.628098
53,TRINITY_DN27311_c0_g1_i1,0,2,-0.0899783
54,TRINITY_DN27495_c0_g1_i1,0,5,-0.877309
55,TRINITY_DN27908_c0_g1_i1,0,1,-1.16439
56,TRINITY_DN28217_c1_g1_i1,0,3,-0.077561
57,TRINITY_DN28343_c0_g1_i1,0,1,1.02588
58,TRINITY_DN28606_c0_g2_i1,0,3,-1.44071
59,TRINITY_DN28629_c0_g1_i1,0,1,-1.16439
60,TRINITY_DN28750_c0_g1_i1,0,1,-0.59155
61,TRINITY_DN28815_c0_g2_i1,0,1,-0.0861022
62,TRINITY_DN29058_c0_g2_i1,0,1,0.722614
63,TRINITY_DN29129_c0_g1_i1,0,1,-0.0861022
64,TRINITY_DN29349_c0_g3_i1,0,1,1.02588
65,TRINITY_DN29428_c0_g1_i1,0,3,-1.72331
66,TRINITY_DN29510_c0_g1_i1,0,1,1.53133
67,TRINITY_DN29586_c0_g1_i1,0,2,-1.51284
68,TRINITY_DN29610_c0_g2_i1,0,8,0.877575
69,TRINITY_DN29774_c0_g2_i1,0,2,0.873187
70,TRINITY_DN29804_c0_g1_i1,0,1,-1.16439
71,TRINITY_DN29983_c0_g1_i1,0,1,1.26176
72,TRINITY_DN30223_c0_g3_i1,0,1,-0.0861022
73,TRINITY_DN30235_c0_g4_i1,0,1,-1.16439
74,TRINITY_DN30257_c0_g1_i1,0,1,1.53133
75,TRINITY_DN30262_c0_g1_i1,0,1,0.351953
76,TRINITY_DN30319_c0_g1_i1,0,1,-1.16439
77,TRINITY_DN30497_c1_g1_i1,0,8,-0.766528
78,TRINITY_DN30510_c0_g1_i1,0,2,1.39855
79,TRINITY_DN30527_c0_g1_i1,0,1,-1.16439
80,TRINITY_DN30561_c0_g1_i2,0,1,1.56503
81,TRINITY_DN30561_c2_g1_i1,0,3,0.0886763
82,TRINITY_DN30586_c1_g1_i1,0,1,-0.59155
83,TRINITY_DN30692_c0_g2_i1,0,2,-0.812352
84,TRINITY_DN30699_c1_g1_i1,0,18,2.00992
85,TRINITY_DN30838_c0_g1_i1,0,1,0.722614
86,TRINITY_DN30917_c0_g1_i1,0,3,0.520893
87,TRINITY_DN30960_c0_g1_i1,0,2,1.15776
88,TRINITY_DN31132_c0_g2_i1,0,1,1.26176
89,TRINITY_DN31264_c1_g1_i1,0,4,-0.232718
90,TRINITY_DN31271_c0_g1_i1,0,5,-0.214552
91,TRINITY_DN31293_c0_g1_i1,0,1,1.26176
92,TRINITY_DN31361_c0_g2_i1,0,1,-1.16439
93,TRINITY_DN31450_c1_g1_i1,0,3,-0.908747
94,TRINITY_DN31459_c0_g1_i1,0,1,-0.0861022
95,TRINITY_DN31501_c0_g1_i1,0,1,-1.16439
96,TRINITY_DN31548_c0_g1_i1,0,1,0.351953
97,TRINITY_DN31613_c0_g1_i1,0,6,-2.05624
98,TRINITY_DN31911_c0_g1_i1,0,2,0.457275
99,TRINITY_DN31922_c0_g1_i1,0,1,-1.16439
100,TRINITY_DN31966_c0_g2_i1,0,8,-2.17464
101,TRINITY_DN31968_c0_g1_i1,0,1,1.43024
102,TRINITY_DN31974_c0_g3_i1,0,1,-1.16439
103,TRINITY_DN32048_c0_g1_i1,0,1,1.43024
104,TRINITY_DN32176_c0_g2_i1,0,1,-0.59155
105,TRINITY_DN32244_c0_g1_i2,0,2,0.435384
106,TRINITY_DN32257_c0_g1_i1,0,5,-1.97429
107,TRINITY_DN32329_c0_g2_i1,0,1,0.351953
108,TRINITY_DN32463_c1_g1_i1,0,16,-1.36581
109,TRINITY_DN32527_c0_g1_i1,0,2,-1.51284
110,TRINITY_DN32667_c0_g2_i1,0,2,1.74879
111,TRINITY_DN32706_c0_g2_i2,0,6,-1.04464
112,TRINITY_DN32791_c0_g3_i1,0,1,0.351953
113,TRINITY_DN32882_c0_g1_i1,0,2,-1.1407
114,TRINITY_DN32915_c0_g1_i1,0,1,-1.16439
115,TRINITY_DN32953_c0_g1_i1,0,1,-1.16439
116,TRINITY_DN33024_c0_g1_i1,0,3,0.836744
117,TRINITY_DN33085_c0_g1_i1,0,1,-1.16439
118,TRINITY_DN33141_c0_g2_i1,0,1,-0.0861022
119,TRINITY_DN33188_c0_g2_i1,0,1,-1.16439
120,TRINITY_DN33196_c0_g1_i1,0,1,-0.59155
121,TRINITY_DN33389_c1_g1_i1,0,1,0.351953
122,TRINITY_DN33397_c1_g1_i2,0,12,-1.17669
123,TRINITY_DN33397_c2_g4_i1,0,6,-1.41159
124,TRINITY_DN33675_c0_g1_i1,0,2,-1.1407
125,TRINITY_DN33723_c0_g1_i1,0,2,0.0851426
126,TRINITY_DN33742_c1_g2_i1,0,1,1.43024
127,TRINITY_DN33780_c0_g1_i1,0,2,1.46422
128,TRINITY_DN33893_c0_g1_i1,0,1,1.02588
129,TRINITY_DN33904_c0_g1_i1,0,2,0.873187
130,TRINITY_DN33929_c0_g3_i1,0,1,-1.16439
131,TRINITY_DN34153_c0_g1_i1,0,1,-1.16439
132,TRINITY_DN34156_c0_g1_i1,0,3,1.91729
133,TRINITY_DN34170_c0_g1_i1,0,1,1.53133
134,TRINITY_DN34223_c0_g1_i1,0,5,-0.305967
135,TRINITY_DN34250_c0_g1_i1,0,2,-1.1407
136,TRINITY_DN34355_c0_g1_i1,0,6,-0.300815
137,TRINITY_DN34483_c0_g1_i1,0,1,1.53133
138,TRINITY_DN34530_c0_g1_i1,0,3,-0.110808
139,TRINITY_DN34621_c1_g2_i1,0,7,-0.805883
140,TRINITY_DN34621_c2_g2_i1,0,3,0.520893
141,TRINITY_DN34647_c0_g2_i1,0,1,-0.59155
142,TRINITY_DN34661_c0_g1_i1,0,2,0.610505
143,TRINITY_DN34670_c0_g1_i1,0,2,-0.812352
144,TRINITY_DN34708_c0_g2_i1,0,1,-1.16439
145,TRINITY_DN34722_c0_g2_i1,0,1,-0.0861022
146,TRINITY_DN34728_c1_g1_i1,0,1,-1.16439
147,TRINITY_DN34875_c0_g1_i1,0,1,-0.0861022
148,TRINITY_DN34928_c0_g1_i1,0,5,0.882426
149,TRINITY_DN34931_c0_g1_i1,0,4,-0.124609
150,TRINITY_DN34972_c0_g1_i1,0,1,-1.16439
151,TRINITY_DN34987_c0_g2_i1,0,2,-1.1407
152,TRINITY_DN35026_c0_g1_i1,0,4,0.280803
153,TRINITY_DN35027_c1_g1_i1,0,1,-1.16439
154,TRINITY_DN35039_c1_g1_i1,0,1,1.26176
155,TRINITY_DN35067_c1_g1_i1,0,2,-1.51284
156,TRINITY_DN35070_c0_g1_i1,0,3,-1.72331
157,TRINITY_DN35091_c1_g1_i1,0,1,-0.59155
158,TRINITY_DN35091_c1_g1_i2,0,2,-0.768572
159,TRINITY_DN35234_c0_g1_i1,0,1,-1.16439
160,TRINITY_DN35300_c0_g1_i1,0,3,-0.659391
161,TRINITY_DN35340_c1_g1_i1,0,2,0.413494
162,TRINITY_DN35340_c1_g1_i2,0,1,1.02588
163,TRINITY_DN35390_c0_g1_i1,0,3,-0.360164
