Markers,Contig,Japan,Status,Population
1,TRINITY_DN10204_c0_g1_i1_790,0.4375,Non-Outlier,Japan
4213,TRINITY_DN10204_c0_g1_i1_790,0.35,Non-Outlier,Philippines
8425,TRINITY_DN10204_c0_g1_i1_790,0.428571429,Non-Outlier,Indonesia
2,TRINITY_DN11039_c0_g1_i1_599,0.125,Non-Outlier,Japan
4214,TRINITY_DN11039_c0_g1_i1_599,0,Non-Outlier,Philippines
8426,TRINITY_DN11039_c0_g1_i1_599,0,Non-Outlier,Indonesia
5,TRINITY_DN11094_c1_g1_i1_104,1,Non-Outlier,Japan
4217,TRINITY_DN11094_c1_g1_i1_104,1,Non-Outlier,Philippines
8429,TRINITY_DN11094_c1_g1_i1_104,0.857142857,Non-Outlier,Indonesia
6,TRINITY_DN11094_c1_g1_i1_254,0.9375,Non-Outlier,Japan
4218,TRINITY_DN11094_c1_g1_i1_254,0.8,Non-Outlier,Philippines
8430,TRINITY_DN11094_c1_g1_i1_254,1,Non-Outlier,Indonesia
3,TRINITY_DN11094_c1_g1_i1_71,0.9375,Non-Outlier,Japan
4215,TRINITY_DN11094_c1_g1_i1_71,0.9,Non-Outlier,Philippines
8427,TRINITY_DN11094_c1_g1_i1_71,0.928571429,Non-Outlier,Indonesia
4,TRINITY_DN11094_c1_g1_i1_90,1,Non-Outlier,Japan
4216,TRINITY_DN11094_c1_g1_i1_90,1,Non-Outlier,Philippines
8428,TRINITY_DN11094_c1_g1_i1_90,0.857142857,Non-Outlier,Indonesia
7,TRINITY_DN11138_c0_g1_i1_278,0.0625,Non-Outlier,Japan
4219,TRINITY_DN11138_c0_g1_i1_278,0.05,Non-Outlier,Philippines
8431,TRINITY_DN11138_c0_g1_i1_278,0,Non-Outlier,Indonesia
8,TRINITY_DN11138_c0_g1_i1_362,0.125,Non-Outlier,Japan
4220,TRINITY_DN11138_c0_g1_i1_362,0,Non-Outlier,Philippines
8432,TRINITY_DN11138_c0_g1_i1_362,0,Non-Outlier,Indonesia
13,TRINITY_DN11428_c0_g1_i1_1229,0.0625,Non-Outlier,Japan
4225,TRINITY_DN11428_c0_g1_i1_1229,0.05,Non-Outlier,Philippines
8437,TRINITY_DN11428_c0_g1_i1_1229,0,Non-Outlier,Indonesia
9,TRINITY_DN11428_c0_g1_i1_327,1,Non-Outlier,Japan
4221,TRINITY_DN11428_c0_g1_i1_327,0.85,Non-Outlier,Philippines
8433,TRINITY_DN11428_c0_g1_i1_327,1,Non-Outlier,Indonesia
10,TRINITY_DN11428_c0_g1_i1_433,1,Non-Outlier,Japan
4222,TRINITY_DN11428_c0_g1_i1_433,0.95,Non-Outlier,Philippines
8434,TRINITY_DN11428_c0_g1_i1_433,0.928571429,Non-Outlier,Indonesia
11,TRINITY_DN11428_c0_g1_i1_520,0.875,Non-Outlier,Japan
4223,TRINITY_DN11428_c0_g1_i1_520,0.75,Non-Outlier,Philippines
8435,TRINITY_DN11428_c0_g1_i1_520,0.642857143,Non-Outlier,Indonesia
12,TRINITY_DN11428_c0_g1_i1_972,0.125,Non-Outlier,Japan
4224,TRINITY_DN11428_c0_g1_i1_972,0.05,Non-Outlier,Philippines
8436,TRINITY_DN11428_c0_g1_i1_972,0.071428571,Non-Outlier,Indonesia
14,TRINITY_DN12058_c0_g1_i1_367,0.3125,Non-Outlier,Japan
4226,TRINITY_DN12058_c0_g1_i1_367,0.15,Non-Outlier,Philippines
8438,TRINITY_DN12058_c0_g1_i1_367,0,Non-Outlier,Indonesia
15,TRINITY_DN12248_c0_g1_i1_261,1,Non-Outlier,Japan
4227,TRINITY_DN12248_c0_g1_i1_261,0.8,Non-Outlier,Philippines
8439,TRINITY_DN12248_c0_g1_i1_261,0.785714286,Non-Outlier,Indonesia
16,TRINITY_DN12505_c0_g1_i1_707,1,Non-Outlier,Japan
4228,TRINITY_DN12505_c0_g1_i1_707,0.9,Non-Outlier,Philippines
8440,TRINITY_DN12505_c0_g1_i1_707,1,Non-Outlier,Indonesia
17,TRINITY_DN12586_c0_g1_i1_286,1,Non-Outlier,Japan
4229,TRINITY_DN12586_c0_g1_i1_286,0.9,Non-Outlier,Philippines
8441,TRINITY_DN12586_c0_g1_i1_286,1,Non-Outlier,Indonesia
18,TRINITY_DN12863_c0_g1_i1_143,1,Non-Outlier,Japan
4230,TRINITY_DN12863_c0_g1_i1_143,0.95,Non-Outlier,Philippines
8442,TRINITY_DN12863_c0_g1_i1_143,0.857142857,Non-Outlier,Indonesia
19,TRINITY_DN1303_c0_g1_i1_163,0.9375,Non-Outlier,Japan
4231,TRINITY_DN1303_c0_g1_i1_163,0.9,Non-Outlier,Philippines
8443,TRINITY_DN1303_c0_g1_i1_163,1,Non-Outlier,Indonesia
22,TRINITY_DN13036_c0_g1_i1_1138,0.0625,Non-Outlier,Japan
4234,TRINITY_DN13036_c0_g1_i1_1138,0.05,Non-Outlier,Philippines
8446,TRINITY_DN13036_c0_g1_i1_1138,0,Non-Outlier,Indonesia
23,TRINITY_DN13036_c0_g1_i1_1355,0.8125,Non-Outlier,Japan
4235,TRINITY_DN13036_c0_g1_i1_1355,0.75,Non-Outlier,Philippines
8447,TRINITY_DN13036_c0_g1_i1_1355,0.571428571,Non-Outlier,Indonesia
21,TRINITY_DN1307_c0_g1_i1_158,0.125,Non-Outlier,Japan
4233,TRINITY_DN1307_c0_g1_i1_158,0,Non-Outlier,Philippines
8445,TRINITY_DN1307_c0_g1_i1_158,0,Non-Outlier,Indonesia
20,TRINITY_DN1307_c0_g1_i1_56,0.3125,Non-Outlier,Japan
4232,TRINITY_DN1307_c0_g1_i1_56,0.2,Non-Outlier,Philippines
8444,TRINITY_DN1307_c0_g1_i1_56,0.285714286,Non-Outlier,Indonesia
24,TRINITY_DN13302_c0_g1_i1_475,0.9375,Non-Outlier,Japan
