CHROM,POS,PI
TRINITY_DN10204_c0_g1_i1,790,0.525
TRINITY_DN11039_c0_g1_i1,599,0.233333
TRINITY_DN11094_c1_g1_i1,71,0.125
TRINITY_DN11094_c1_g1_i1,90,0
TRINITY_DN11094_c1_g1_i1,104,0
TRINITY_DN11094_c1_g1_i1,254,0.125
TRINITY_DN11138_c0_g1_i1,278,0.125
TRINITY_DN11138_c0_g1_i1,362,0.233333
TRINITY_DN11428_c0_g1_i1,327,0
TRINITY_DN11428_c0_g1_i1,433,0
TRINITY_DN11428_c0_g1_i1,520,0.233333
TRINITY_DN11428_c0_g1_i1,972,0.233333
TRINITY_DN11428_c0_g1_i1,1229,0.125
TRINITY_DN12058_c0_g1_i1,367,0.458333
TRINITY_DN12248_c0_g1_i1,261,0
TRINITY_DN12505_c0_g1_i1,707,0
TRINITY_DN12586_c0_g1_i1,286,0
TRINITY_DN12863_c0_g1_i1,143,0
TRINITY_DN1303_c0_g1_i1,163,0.125
TRINITY_DN1307_c0_g1_i1,56,0.458333
TRINITY_DN1307_c0_g1_i1,158,0.233333
TRINITY_DN13036_c0_g1_i1,1138,0.125
TRINITY_DN13036_c0_g1_i1,1355,0.325
TRINITY_DN13302_c0_g1_i1,475,0.125
TRINITY_DN13619_c0_g1_i1,361,0
TRINITY_DN13619_c0_g1_i1,364,0.233333
TRINITY_DN13619_c0_g1_i1,440,0
TRINITY_DN13619_c0_g1_i1,481,0.233333
TRINITY_DN13619_c0_g1_i1,605,0.458333
TRINITY_DN13619_c0_g1_i1,649,0.325
TRINITY_DN14445_c0_g1_i1,139,0
TRINITY_DN14590_c0_g1_i1,124,0
TRINITY_DN14590_c0_g1_i1,135,0.233333
TRINITY_DN14590_c0_g1_i1,242,0.325
TRINITY_DN14590_c0_g1_i1,373,0
TRINITY_DN14742_c0_g1_i1,947,0.5
TRINITY_DN14742_c0_g1_i1,992,0
TRINITY_DN14742_c0_g1_i1,1118,0.4
TRINITY_DN14997_c0_g1_i1,109,0.325
TRINITY_DN14997_c0_g1_i1,116,0.325
TRINITY_DN14997_c0_g1_i1,288,0.233333
TRINITY_DN14997_c0_g1_i1,330,0.233333
TRINITY_DN14997_c0_g1_i1,479,0
TRINITY_DN14997_c0_g1_i1,720,0
TRINITY_DN14997_c0_g1_i1,1063,0
TRINITY_DN14997_c0_g1_i1,1088,0
TRINITY_DN14997_c0_g1_i1,1360,0
TRINITY_DN14997_c0_g1_i1,1572,0
TRINITY_DN15447_c0_g1_i1,318,0.325
TRINITY_DN15447_c0_g1_i1,944,0
TRINITY_DN15447_c0_g1_i1,945,0
TRINITY_DN15447_c0_g1_i1,948,0
TRINITY_DN15447_c0_g1_i1,954,0
TRINITY_DN15447_c0_g1_i1,960,0
TRINITY_DN15447_c0_g1_i1,1515,0.125
TRINITY_DN16185_c0_g2_i1,138,0.233333
TRINITY_DN16266_c0_g1_i1,324,0.125
TRINITY_DN16806_c0_g1_i1,512,0.233333
TRINITY_DN16806_c0_g1_i1,542,0.125
TRINITY_DN16806_c0_g1_i1,581,0
TRINITY_DN16999_c0_g1_i1,143,0.233333
TRINITY_DN16999_c0_g1_i1,205,0
TRINITY_DN16999_c0_g1_i1,232,0.233333
TRINITY_DN16999_c0_g1_i1,249,0
TRINITY_DN16999_c0_g1_i1,253,0.233333
TRINITY_DN16999_c0_g1_i1,483,0.125
TRINITY_DN16999_c0_g1_i1,714,0.125
TRINITY_DN16999_c0_g1_i1,723,0.125
TRINITY_DN16999_c0_g1_i1,740,0.233333
TRINITY_DN17505_c0_g1_i1,58,0.458333
TRINITY_DN17505_c0_g1_i1,85,0.125
TRINITY_DN17505_c0_g1_i1,490,0.325
TRINITY_DN17505_c0_g1_i1,522,0.533333
TRINITY_DN17975_c1_g1_i1,400,0.4
TRINITY_DN17975_c1_g1_i1,476,0.525
TRINITY_DN17975_c1_g1_i1,581,0
TRINITY_DN17975_c1_g1_i1,596,0.125
TRINITY_DN17975_c1_g1_i1,629,0.233333
TRINITY_DN18246_c0_g1_i1,65,0
TRINITY_DN18246_c0_g1_i1,118,0.233333
TRINITY_DN18288_c0_g2_i1,481,0
TRINITY_DN18415_c0_g1_i1,627,0
TRINITY_DN18768_c0_g1_i1,306,0.325
TRINITY_DN18768_c0_g1_i1,351,0
TRINITY_DN18768_c0_g1_i1,482,0
TRINITY_DN18768_c0_g1_i1,652,0.325
TRINITY_DN18768_c0_g1_i1,697,0.233333
TRINITY_DN19476_c0_g1_i1,87,0
TRINITY_DN19476_c0_g1_i1,224,0.125
TRINITY_DN19476_c0_g1_i1,296,0.125
TRINITY_DN19557_c0_g1_i1,200,0.458333
TRINITY_DN19557_c0_g1_i1,530,0.533333
TRINITY_DN19557_c0_g1_i1,566,0.325
TRINITY_DN19604_c0_g1_i1,144,0
TRINITY_DN19739_c0_g1_i1,907,0
TRINITY_DN19834_c0_g1_i1,117,0
TRINITY_DN19928_c0_g1_i1,592,0
TRINITY_DN19985_c0_g1_i1,572,0.233333
TRINITY_DN19985_c0_g1_i1,617,0
TRINITY_DN19985_c0_g1_i1,671,0.233333
TRINITY_DN19985_c0_g1_i1,806,0
TRINITY_DN19985_c0_g1_i1,866,0
TRINITY_DN19985_c0_g1_i1,875,0
TRINITY_DN19985_c0_g1_i1,971,0
TRINITY_DN19985_c0_g2_i1,170,0
TRINITY_DN19985_c0_g2_i1,218,0.233333
TRINITY_DN19985_c0_g2_i1,310,0.4
TRINITY_DN19985_c0_g2_i1,388,0.233333
TRINITY_DN19985_c0_g2_i1,493,0.4
TRINITY_DN19985_c0_g2_i1,556,0
TRINITY_DN19985_c0_g2_i1,1024,0.4
TRINITY_DN19985_c0_g2_i1,1039,0
TRINITY_DN19985_c0_g2_i1,1103,0.533333
TRINITY_DN2025_c0_g1_i1,119,0
TRINITY_DN2025_c0_g1_i1,239,0
TRINITY_DN2025_c0_g1_i1,337,0.325
