CHROM,POS,PI
TRINITY_DN10204_c0_g1_i1,790,0.478947
TRINITY_DN11039_c0_g1_i1,599,0
TRINITY_DN11094_c1_g1_i1,71,0.189474
TRINITY_DN11094_c1_g1_i1,90,0
TRINITY_DN11094_c1_g1_i1,104,0
TRINITY_DN11094_c1_g1_i1,254,0.336842
TRINITY_DN11138_c0_g1_i1,278,0.1
TRINITY_DN11138_c0_g1_i1,362,0
TRINITY_DN11428_c0_g1_i1,327,0.268421
TRINITY_DN11428_c0_g1_i1,433,0.1
TRINITY_DN11428_c0_g1_i1,520,0.394737
TRINITY_DN11428_c0_g1_i1,972,0.1
TRINITY_DN11428_c0_g1_i1,1229,0.1
TRINITY_DN12058_c0_g1_i1,367,0.268421
TRINITY_DN12248_c0_g1_i1,261,0.336842
TRINITY_DN12505_c0_g1_i1,707,0.189474
TRINITY_DN12586_c0_g1_i1,286,0.189474
TRINITY_DN12863_c0_g1_i1,143,0.1
TRINITY_DN1303_c0_g1_i1,163,0.189474
TRINITY_DN1307_c0_g1_i1,56,0.336842
TRINITY_DN1307_c0_g1_i1,158,0
TRINITY_DN13036_c0_g1_i1,1138,0.1
TRINITY_DN13036_c0_g1_i1,1355,0.394737
TRINITY_DN13302_c0_g1_i1,475,0
TRINITY_DN13619_c0_g1_i1,361,0.189474
TRINITY_DN13619_c0_g1_i1,364,0.189474
TRINITY_DN13619_c0_g1_i1,440,0.268421
TRINITY_DN13619_c0_g1_i1,481,0.1
TRINITY_DN13619_c0_g1_i1,605,0.521053
TRINITY_DN13619_c0_g1_i1,649,0.268421
TRINITY_DN14445_c0_g1_i1,139,0.189474
TRINITY_DN14590_c0_g1_i1,124,0.268421
TRINITY_DN14590_c0_g1_i1,135,0.1
TRINITY_DN14590_c0_g1_i1,242,0.394737
TRINITY_DN14590_c0_g1_i1,373,0.189474
TRINITY_DN14742_c0_g1_i1,947,0.478947
TRINITY_DN14742_c0_g1_i1,992,0.394737
TRINITY_DN14742_c0_g1_i1,1118,0.1
TRINITY_DN14997_c0_g1_i1,109,0
TRINITY_DN14997_c0_g1_i1,116,0.521053
TRINITY_DN14997_c0_g1_i1,288,0
TRINITY_DN14997_c0_g1_i1,330,0
TRINITY_DN14997_c0_g1_i1,479,0.189474
TRINITY_DN14997_c0_g1_i1,720,0
TRINITY_DN14997_c0_g1_i1,1063,0.268421
TRINITY_DN14997_c0_g1_i1,1088,0.394737
TRINITY_DN14997_c0_g1_i1,1360,0.394737
TRINITY_DN14997_c0_g1_i1,1572,0.442105
TRINITY_DN15447_c0_g1_i1,318,0.526316
TRINITY_DN15447_c0_g1_i1,944,0.189474
TRINITY_DN15447_c0_g1_i1,945,0.189474
TRINITY_DN15447_c0_g1_i1,948,0.189474
TRINITY_DN15447_c0_g1_i1,954,0.189474
TRINITY_DN15447_c0_g1_i1,960,0.189474
TRINITY_DN15447_c0_g1_i1,1515,0.189474
TRINITY_DN16185_c0_g2_i1,138,0.505263
TRINITY_DN16266_c0_g1_i1,324,0.1
TRINITY_DN16806_c0_g1_i1,512,0
TRINITY_DN16806_c0_g1_i1,542,0.521053
TRINITY_DN16806_c0_g1_i1,581,0.268421
