NUM,CHROM,BIN_START,N_SNPS,TajimaD
1,TRINITY_DN11039_c0_g1_i1,0,1,-0.871907
2,TRINITY_DN11428_c0_g1_i1,0,1,-1.1028
3,TRINITY_DN12586_c0_g1_i1,0,1,-0.871907
4,TRINITY_DN12863_c0_g1_i1,0,1,-0.650843
5,TRINITY_DN1307_c0_g1_i1,0,3,-0.48972
6,TRINITY_DN13619_c0_g1_i1,0,2,-0.489169
7,TRINITY_DN14445_c0_g1_i1,0,1,-1.1028
8,TRINITY_DN14590_c0_g1_i1,0,1,-1.1028
9,TRINITY_DN14997_c0_g1_i1,0,3,-1.46433
10,TRINITY_DN16806_c0_g1_i1,0,1,-1.1028
11,TRINITY_DN16999_c0_g1_i1,0,7,-1.85795
12,TRINITY_DN17505_c0_g1_i1,0,1,1.72191
13,TRINITY_DN17975_c1_g1_i1,0,9,-1.45944
14,TRINITY_DN19476_c0_g1_i1,0,2,-1.01105
15,TRINITY_DN19557_c0_g1_i1,0,1,0.621505
16,TRINITY_DN19999_c0_g1_i1,0,1,-1.1028
17,TRINITY_DN20031_c0_g1_i1,0,1,-1.1028
18,TRINITY_DN20033_c0_g1_i1,0,2,-0.319559
19,TRINITY_DN20359_c0_g1_i1,0,3,-0.854885
20,TRINITY_DN20397_c0_g1_i1,0,2,-0.420673
21,TRINITY_DN20453_c0_g1_i1,0,2,-0.0716669
22,TRINITY_DN20502_c0_g1_i1,0,2,0.0979433
23,TRINITY_DN20691_c0_g1_i1,0,3,0.613332
24,TRINITY_DN20701_c0_g1_i1,0,3,0.0844715
25,TRINITY_DN20973_c1_g1_i1,0,2,-0.609853
26,TRINITY_DN21169_c0_g1_i1,0,2,-0.724014
27,TRINITY_DN21210_c0_g1_i1,0,2,0.0457556
28,TRINITY_DN21256_c0_g1_i1,0,1,-1.1028
29,TRINITY_DN21269_c0_g1_i1,0,6,-0.420325
30,TRINITY_DN21311_c0_g1_i1,0,1,1.01942
31,TRINITY_DN21452_c0_g1_i1,0,1,1.13241
32,TRINITY_DN21471_c0_g1_i1,0,2,2.267
33,TRINITY_DN22048_c0_g1_i1,0,1,-0.871907
34,TRINITY_DN22229_c0_g1_i1,0,3,-0.149738
35,TRINITY_DN22452_c0_g1_i1,0,2,-0.642471
36,TRINITY_DN22567_c0_g1_i1,0,3,-0.922882
37,TRINITY_DN22921_c0_g1_i1,0,1,-0.238189
38,TRINITY_DN23475_c0_g2_i1,0,1,-0.238189
39,TRINITY_DN24010_c0_g1_i1,0,1,-0.650843
40,TRINITY_DN24064_c0_g1_i1,0,1,-0.871907
41,TRINITY_DN24303_c0_g1_i1,0,2,-0.0553583
